Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
world_link,"-0,379999991843833","-0,241999995946268","0,282642145469613",0,0,0,"56,5143635061382","3,10383758638064","9,38103874984808E-07","-4,5700988000864E-07","3,00109559506483","3,8993102369279E-08","0,915005919197952",0,0,0,0,0,0,package://scara_boxes/meshes/world_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara_boxes/meshes/world_link.STL,,sockel-1,world,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
scara_link_base,"4,11981024295294E-09","-0,00144952651535979","0,0824742549468586",0,0,0,"10,0938987184175","0,0864487528577416","-7,67600083954998E-08","-3,54288604352874E-09","0,0762174394798054","0,000783155397267453","0,100368960083761",0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_base.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_base.STL,,scara_4_linear-1/base_scara-1,base_Scara,Axis_scara_joint_base,scara_joint_base,fixed,"-0,38","-0,242","0,650000000000001",0,0,0,world_link,0,0,0,,,,,,,,,,,,
scara_link_1,"0,0554575444614087","0,165564551542489","0,0275000000000013",0,0,0,"3,3230838247481","0,0576270026353464","-0,0171642772796708","-2,85240477777696E-18","0,0119905480517804","-7,7409692678262E-18","0,0679421595859383",0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_1.STL,,scara_4_linear-1/link2_scara-1,scara_link1,link_1_achse,scara_joint_1,revolute,0,"0,0620000000000001","0,185999999999999",0,0,0,scara_link_base,0,0,-1,0,0,0,0,,,,,,,,
scara_link_2,"0,0846237938758736","0,153636740232568","0,109919168493605",0,0,0,"17,9237237949378","0,486676041203974","-0,20205161891764","0,0238411475845364","0,231136918692326","0,043284241977989","0,538887927908261",0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_2.STL,,scara_4_linear-1/link3_scara-1,scara_link2,link2_achse,scara_joint_2,revolute,"0,110915088922802","0,331544853874762","0,0550000000000013",0,0,0,scara_link_1,0,0,-1,0,0,0,0,,,,,,,,
scara_link_3,"-5,48198860028659E-07","3,08047934466371E-07","-0,191819389863616",0,0,0,"1,09878914470562","0,0202026345558292","1,46163302702154E-08","-2,9902926720251E-09","0,0202026586253473","5,4617905886984E-09","0,000398979796591897",0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara_boxes/meshes/scara_link_3.STL,,scara_4_linear-1/spindel_Scara-1,scara_link3,Achse5,scara_joint_3,prismatic,"0,217106821845308","0,394163199586465",0,"3,14159265358979",0,"-3,14159265358979",scara_link_2,0,0,-1,0,0,0,0,,,,,,,,
boxes,"0,360011118600684","0,27521364223783","0,278912194799361",0,0,0,"99,0267308175771","3,36896676113991","7,18898606721354E-11","-1,42061685292634E-06","3,36911900381237","-6,3075170410186E-09","0,678298179608551",0,0,0,0,0,0,package://scara_boxes/meshes/boxes.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara_boxes/meshes/boxes.STL,,box-1;box-2;sockel_box-2;sockel_box-1;sockel_box-4;box-3;box-4;sockel_box-3,boxes,Axis_boxes,boxes,fixed,"-0,719999999999999",0,0,0,0,0,world_link,0,0,0,,,,,,,,,,,,
