Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00304253582378883","-3,24080029479035E-09","0,348016553898838",0,0,0,"140,664155119261","6,21985341555057","1,6177467469675E-09","-0,0282733043567956","6,16895115866181","-6,39612769574178E-08","0,621036899279798",0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/base_link.STL,"0,647058823529412","0,619607843137255","0,588235294117647",1,0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/base_link.STL,,base-1,Koordinatensystem1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,"0,180580298915213","-1,72451675162222E-09","0,5628500514109",0,0,0,"10,3144084866883","0,0342092246633679","-2,99363172795375E-10","-0,0121727037282381","0,0788306764827712","3,25101890063317E-09","0,078100864454537",0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/l1.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/l1.STL,,link1-1,Koordinatensystem1,Achse1,j1,prismatic,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
l2,"0,464665381563986","-0,000533918957160928","0,663143302894101",0,0,0,"8,02143644200549","0,0149565861523128","0,000403547895616341","-0,00584364916080405","0,135000761450308","1,96396179920279E-05","0,141074436407867",0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/l2.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/l2.STL,,link2-1,Koordinatensystem1,Achse2,j2,revolute,0,0,0,0,0,0,l1,0,0,-1,0,0,0,0,,,,,,,,
l3,"0,734557385262792","-0,00674681244424247","0,603143304377357",0,0,0,"8,02143583413568","0,015117442570311","0,00440988755881666","-0,00583973463893681","0,134839889330191","0,000214807697238278","0,141074421178462",0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/l3.STL,"0,898039215686275","0,917647058823529","0,929411764705882",1,0,0,0,0,0,0,package://URDF_scara.SLDASM/meshes/l3.STL,,link2-2,Koordinatensystem1,Achse3,j3,revolute,0,0,0,0,0,0,l2,0,0,-1,0,0,0,0,,,,,,,,
