Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0247831027895316","-0,126307492020279","1,15000000172452",0,0,0,"3,77817160684553","0,0125308515250432","-0,00445886583451945","1,09656845989623E-10","0,0286083752580722","-1,19084940381239E-09","0,0288757056713447",0,0,0,0,0,0,package://scara.SLDASM/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara.SLDASM/meshes/base_link.STL,,link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,"0,100580298915214","0,0863670807289593","0,0800000017245166",0,0,0,"3,77817160684553","0,0125308515250432","-0,00445886583451945","1,09656845923179E-10","0,0286083752580722","-1,19084940380642E-09","0,0288757056713447",0,0,0,0,0,0,package://scara.SLDASM/meshes/l1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara.SLDASM/meshes/l1.STL,,link1-1,Origin_l1,,l1,fixed,"-0,075797","-1,07","-0,21267","1,5708",0,0,base_link,0,0,0,,,,,,,,,,,,
j2,"0,158848366931551","0,0366603336954162","-9,85374284390161E-08",0,0,0,"2,9382548842988","0,00547804648524969","-0,00214046701062641","5,09955047757558E-08","0,0516754027736658","1,89907468050839E-08","0,0494511186006761",0,0,0,0,0,0,package://scara.SLDASM/meshes/j2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://scara.SLDASM/meshes/j2.STL,,link2-2,Origin_j2,Axis_j2,j2,continuous,"0,46645","0,09","-0,042465",0,"0,51939",0,l1,0,1,0,,,,,,,,,,,,
